epc,FirstSeenTime,LastSeenTime,Channel,PeakRSSI,PhaseAngle,DopplerFreq
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125170497,0,920.625,-57,0.607456392002714,-7.3125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125184450,0,920.625,-57,0.632000084608884,-7.3125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125194411,0,920.625,-57,0.589048622548086,0
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125205249,0,920.625,-57.5,0.601320468851171,-7.3125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125219182,0,920.625,-57.5,0.582912699396544,7.3125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125227643,0,920.625,-57,0.576776776245001,8.9375
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125238256,0,920.625,-57.5,0.533825314184203,5.6875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125253106,0,920.625,-57.5,0.576776776245001,3.25
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125264705,0,920.625,-57.5,0.638136007760427,-5.6875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125274120,0,920.625,-57.5,0.546097160487288,7.3125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125283225,0,920.625,-58,0.773126317094363,-48.8125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125299488,0,920.625,-57,0.74244670133665,-52.0625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125310605,0,920.625,-57,0.69335931612431,-30.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125321128,0,920.625,-57,0.613592315154257,-7.3125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125332061,0,920.625,-57,0.619728238305799,-5.6875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125340881,0,920.625,-57.5,0.632000084608884,-10.5625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125352730,0,920.625,-57.5,0.595184545699629,-3.25
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125362919,0,920.625,-57.5,0.45405831321415,41.5
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125376560,0,920.625,-57.5,0.552233083638831,-7.3125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125388364,0,920.625,-57.5,0.656543777215054,-30.0625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125398295,0,920.625,-57,0.570640853093458,-8.9375
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125407905,0,920.625,-57,0.595184545699629,1.625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125420962,0,920.625,-57,0.662679700366597,-19.5
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125430490,0,920.625,-57.5,0.589048622548086,-4.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125444420,0,920.625,-57,0.638136007760427,-5.6875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125456605,0,920.625,-57,0.613592315154257,-8.9375
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125467671,0,920.625,-57,0.66881562351814,-21.9375
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125477183,0,920.625,-57,0.754718547639735,-48
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125488683,0,920.625,-57.5,0.570640853093458,3.25
